method,task,classifier,feature,coefficient,abs_coefficient
A080+DS Full,cn_vs_ad,linear_svm,roi_r0_c1_brain_std_slice_std,-0.2915781573950649,0.2915781573950649
A080+DS Full,cn_vs_ad,linear_svm,roi_r0_c0_wm_count_slice_std,-0.2820404209227403,0.2820404209227403
A080+DS Full,cn_vs_ad,linear_svm,roi_r1_c1_brain_mean_slice_std,-0.2798584388668226,0.2798584388668226
A080+DS Full,cn_vs_ad,linear_svm,roi_r1_c2_wm_count_slice_mean,-0.26593828365968164,0.26593828365968164
A080+DS Full,cn_vs_ad,linear_svm,roi_r0_c1_brain_median_slice_std,0.25488113814318447,0.25488113814318447
A080+DS Full,cn_vs_ad,linear_svm,roi_r1_c2_brain_median_slice_std,-0.25249211084845,0.25249211084845
A080+DS Full,cn_vs_ad,linear_svm,roi_r1_c0_wm_std_slice_std,0.25065634752664245,0.25065634752664245
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c2_wm_count_slice_std,1.3660198727514046,1.3660198727514046
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c2_wm_p90_slice_std,-1.0324388556056274,1.0324388556056274
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c1_brain_grad_mean_slice_std,-1.0252487268136972,1.0252487268136972
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c1_brain_mean_slice_std,0.9154269977363596,0.9154269977363596
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c1_brain_std_slice_std,-0.9071545897718638,0.9071545897718638
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c2_wm_count_slice_mean,0.8674100496007491,0.8674100496007491
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r1_c2_wm_median_slice_std,-0.8230353063221135,0.8230353063221135
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c0_brain_median_slice_std,-0.8210358776304755,0.8210358776304755
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r1_c2_brain_median_slice_std,-0.7734370275364295,0.7734370275364295
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c0_wm_median_slice_std,0.7560760353204048,0.7560760353204048
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r1_c0_brain_p10_slice_mean,0.7215769164667306,0.7215769164667306
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c1_brain_median_slice_std,0.7048625465088341,0.7048625465088341
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r1_c0_brain_grad_mean_slice_mean,-0.6315394351468384,0.6315394351468384
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r1_c1_wm_count_slice_mean,-0.6204544956511497,0.6204544956511497
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c0_brain_p90_slice_std,0.608438651274142,0.608438651274142
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c0_wm_count_slice_mean,0.5983637285370162,0.5983637285370162
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r0_c0_wm_std_slice_mean,-0.5646590241210871,0.5646590241210871
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r1_c1_brain_p90_slice_std,0.5525346803069656,0.5525346803069656
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r1_c0_wm_count_slice_mean,-0.5478346542598035,0.5478346542598035
A080+DS Full,mci_spectrum_vs_ad,logistic,roi_r1_c1_brain_grad_mean_slice_std,0.5426700588646489,0.5426700588646489
